Timestamps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
19,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.18,51.59,89.43,205.26,61.16,143.77,204.82,32.67,5.06,869.88
20,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.97,43.56,79.64,210.65,58.85,148.72,217.91,34.54,5.06,851.84
21,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,33.88,67.32,213.4,56.54,156.2,228.58,38.39,5.06,838.31
22,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.07,27.39,55.11,216.04,54.12,161.15,239.8,42.24,5.06,832.92
23,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.14,22.55,44.0,218.79,49.39,166.1,250.91,46.09,5.06,827.97
24,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.41,19.36,33.0,218.79,47.08,173.25,262.13,51.92,5.06,830.94
25,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.79,16.06,24.75,218.79,42.35,178.09,273.35,55.77,5.06,829.95
26,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.48,14.52,22.0,216.04,37.62,182.93,280.61,60.28,5.06,832.48
27,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.48,12.87,19.25,210.65,32.89,190.19,287.76,67.1,5.06,839.19
28,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.48,11.22,13.75,205.26,28.16,195.03,294.91,71.61,5.06,838.42
29,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.17,11.22,13.75,194.48,25.85,199.87,298.54,78.43,5.06,838.31
30,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.17,9.68,11.0,183.7,18.81,207.13,302.06,82.94,5.06,831.49
31,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.17,9.68,11.0,170.17,16.39,211.97,305.69,89.76,5.06,830.83
